,DT_MEDICAO,HR_MEDICAO,TEM_INS,UMD_INS,RAD_GLO
0,2021-03-09,0000,25.1,96.0,3.289
1,2021-03-09,0100,25.1,93.0,1.74
2,2021-03-09,0200,24.7,94.0,0.97
3,2021-03-09,0300,24.4,93.0,2.458
4,2021-03-09,0400,24.3,92.0,3.32
5,2021-03-09,0500,24.2,93.0,-0.254
6,2021-03-09,0600,24.1,94.0,-0.716
7,2021-03-09,0700,23.9,95.0,-1.508
8,2021-03-09,0800,24.1,95.0,-0.337
9,2021-03-09,0900,24.0,96.0,-0.24
10,2021-03-09,1000,23.9,95.0,25.572
11,2021-03-09,1100,25.3,89.0,243.03
12,2021-03-09,1200,26.5,81.0,502.445
13,2021-03-09,1300,27.6,76.0,976.258
14,2021-03-09,1400,28.0,78.0,773.713
15,2021-03-09,1500,29.7,69.0,1745.304
16,2021-03-09,1600,30.5,66.0,1831.617
17,2021-03-09,1700,30.4,62.0,2034.885
18,2021-03-09,1800,29.1,72.0,582.301
19,2021-03-09,1900,28.4,75.0,388.682
20,2021-03-09,2000,25.6,93.0,300.721
21,2021-03-09,2100,26.0,88.0,199.608
22,2021-03-09,2200,25.8,87.0,33.823
23,2021-03-09,2300,25.6,87.0,3.259
24,2021-03-10,0000,25.4,90.0,1.825
25,2021-03-10,0100,24.9,94.0,-0.762
26,2021-03-10,0200,24.5,95.0,0.277
27,2021-03-10,0300,24.4,95.0,0.491
28,2021-03-10,0400,24.3,96.0,0.145
29,2021-03-10,0500,24.3,96.0,-0.077
30,2021-03-10,0600,24.2,96.0,0.64
31,2021-03-10,0700,24.2,96.0,-0.006
32,2021-03-10,0800,24.2,96.0,0.101
33,2021-03-10,0900,24.2,96.0,0.586
34,2021-03-10,1000,24.4,96.0,15.308
35,2021-03-10,1100,24.8,95.0,172.174
36,2021-03-10,1200,25.7,87.0,554.83
37,2021-03-10,1300,27.0,77.0,960.813
38,2021-03-10,1400,27.7,70.0,1256.037
39,2021-03-10,1500,29.4,68.0,2050.419
40,2021-03-10,1600,29.2,67.0,2142.604
41,2021-03-10,1700,28.3,66.0,1073.0
42,2021-03-10,1800,28.8,67.0,1090.487
43,2021-03-10,1900,28.6,68.0,1172.084
44,2021-03-10,2000,28.8,71.0,504.322
45,2021-03-10,2100,28.1,72.0,479.669
46,2021-03-10,2200,26.7,79.0,26.083
47,2021-03-10,2300,26.2,83.0,-0.423
48,2021-03-11,0000,26.0,86.0,-1.077
49,2021-03-11,0100,25.6,87.0,-1.584
50,2021-03-11,0200,25.3,88.0,-3.261
51,2021-03-11,0300,25.1,89.0,-2.095
52,2021-03-11,0400,25.0,90.0,-2.514
53,2021-03-11,0500,24.4,94.0,-1.217
54,2021-03-11,0600,24.2,95.0,-0.664
55,2021-03-11,0700,24.4,95.0,0.137
56,2021-03-11,0800,24.3,96.0,-0.06
57,2021-03-11,0900,24.3,96.0,-0.004
58,2021-03-11,1000,24.6,96.0,40.248
59,2021-03-11,1100,25.9,93.0,219.972
60,2021-03-11,1200,28.0,80.0,702.8
61,2021-03-11,1300,30.1,68.0,1040.251
62,2021-03-11,1400,29.0,71.0,1118.953
63,2021-03-11,1500,29.2,70.0,1094.003
64,2021-03-11,1600,25.6,93.0,777.644
65,2021-03-11,1700,24.2,96.0,245.361
66,2021-03-11,1800,25.3,92.0,482.117
67,2021-03-11,1900,27.2,79.0,667.71
68,2021-03-11,2000,26.6,83.0,436.459
69,2021-03-11,2100,25.4,93.0,88.521
70,2021-03-11,2200,24.5,95.0,11.855
71,2021-03-11,2300,23.5,95.0,4.785
72,2021-03-12,0000,23.0,97.0,5.174
73,2021-03-12,0100,23.0,97.0,2.094
74,2021-03-12,0200,23.2,97.0,1.746
75,2021-03-12,0300,23.2,97.0,0.43
76,2021-03-12,0400,23.3,97.0,1.012
77,2021-03-12,0500,22.9,97.0,0.013
78,2021-03-12,0600,22.9,97.0,-0.717
79,2021-03-12,0700,22.8,97.0,-1.201
80,2021-03-12,0800,22.9,97.0,-1.317
81,2021-03-12,0900,22.6,97.0,-2.299
82,2021-03-12,1000,23.1,97.0,28.266
83,2021-03-12,1100,23.9,97.0,285.745
84,2021-03-12,1200,26.9,80.0,924.902
85,2021-03-12,1300,27.0,82.0,1148.005
86,2021-03-12,1400,27.5,78.0,1206.201
87,2021-03-12,1500,30.1,70.0,2202.68
88,2021-03-12,1600,28.3,74.0,1386.778
89,2021-03-12,1700,24.3,93.0,125.911
90,2021-03-12,1800,24.6,93.0,245.071
91,2021-03-12,1900,24.6,95.0,127.07
92,2021-03-12,2000,24.8,94.0,151.058
93,2021-03-12,2100,25.2,95.0,206.113
94,2021-03-12,2200,24.4,94.0,22.835
95,2021-03-12,2300,24.0,94.0,3.443
96,2021-03-13,0000,24.0,95.0,2.026
97,2021-03-13,0100,24.0,95.0,2.521
98,2021-03-13,0200,23.8,96.0,0.335
99,2021-03-13,0300,23.5,96.0,-0.721
100,2021-03-13,0400,23.3,96.0,-0.918
101,2021-03-13,0500,23.1,97.0,-1.096
102,2021-03-13,0600,23.0,97.0,-0.481
103,2021-03-13,0700,23.0,97.0,-1.422
104,2021-03-13,0800,22.7,97.0,-2.28
105,2021-03-13,0900,22.9,97.0,-1.085
106,2021-03-13,1000,23.4,97.0,21.198
107,2021-03-13,1100,24.7,97.0,195.495
