DATA,HORARIO,ATUAL_TEMPERATURA,PREVISOES_TEMPERATURA,ATUAL_UMIDADE,PREVISOES_UMIDADE,ATUAL_RADIACAO,PREVISOES_RADIACAO
2022-06-08,2300.0,24.5,24.50542944516286,92.0,91.78714810965774,-2.3,11.285982907333164
2022-06-08,0.0,24.1,24.378011466123723,94.0,93.17311196751223,-3.5,19.95606802367365
2022-06-08,100.0,23.8,24.096013866123975,96.0,94.59592704667412,-3.0,3.5336089831694153
2022-06-08,200.0,23.6,23.89824327869711,97.0,95.95293253443211,-2.3,-2.8416268292216955
2022-06-08,300.0,23.4,23.76084901535856,98.0,96.64526696977853,-2.2,-10.539069612561434
2022-06-08,400.0,23.2,23.621434349766854,98.0,97.349533336806,-2.6,-19.11956957676057
2022-06-08,500.0,23.0,23.45360466566755,98.0,97.46949342857786,-2.5,-38.09427547632754
2022-06-08,600.0,23.7,23.28635545247962,98.0,97.5820190717562,37.6,-56.087116564696544
2022-06-08,700.0,25.3,23.939139355741787,90.0,96.85993419825924,422.4,38.420448356960605
2022-06-08,800.0,28.2,25.37055627538946,77.0,89.92519724766369,1247.0,411.67729772618907
2022-06-08,900.0,30.2,28.056632389916345,69.0,78.03695861664548,1918.8,1199.2060823112279
2022-06-08,1000.0,29.8,29.949695097855397,73.0,70.34833161969404,1874.5,1808.8198097888308
2022-06-08,1100.0,28.2,29.59090031687388,81.0,73.44241456675147,1932.2,1724.2371405843246
2022-06-08,1200.0,31.3,28.329008898942064,66.0,79.72002953863807,2897.8,1655.0729090460302
2022-06-08,1300.0,30.4,31.124172605375072,66.0,66.5759977471307,1792.1,2511.475941647531
2022-06-08,1400.0,32.2,29.565814240176934,58.0,70.2246000716375,2455.7,1460.8580451571806
2022-06-08,1500.0,29.8,31.319497659297188,69.0,62.54941076219225,709.0,2065.629865564773
2022-06-08,1600.0,26.4,28.485115513194224,88.0,74.86491137255227,158.4,526.309392829992
2022-06-08,1700.0,25.6,25.802600845771227,89.0,89.56263098124717,38.0,12.582557756237975
2022-06-08,1800.0,25.6,25.23296799344479,91.0,90.35735600247618,2.6,-71.2070015627528
2022-06-08,1900.0,25.1,25.452761110888336,93.0,90.85709754225238,-2.5,-3.113588863095856
